family,n,p,weight,algo,ws_beta,comm_ratio,grid_side,median_cpu_sec,n_samples,rank
WS,120,0.1,uniform_1_9,BI_DIJKSTRA,0.3,,,0.00014431199815589935,1000,1
WS,120,0.1,uniform_1_9,ALT,0.3,,,0.0003007500017702114,1000,2
WS,120,0.1,uniform_1_9,A*,0.3,,,0.0005381254959502257,1000,3
WS,120,0.1,uniform_1_9,DIJKSTRA,0.3,,,0.0006064789959054906,1000,4
WS,120,0.14,uniform_1_9,ALT,0.01,,,0.0003925204982806463,1000,1
WS,120,0.14,uniform_1_9,BI_DIJKSTRA,0.01,,,0.0004604994974215515,1000,2
WS,120,0.14,uniform_1_9,A*,0.01,,,0.0007571660025860183,1000,3
WS,120,0.14,uniform_1_9,DIJKSTRA,0.01,,,0.0008611249977548141,1000,4
WS,120,0.14,uniform_1_9,BI_DIJKSTRA,0.05,,,0.00030031250571482815,1000,1
WS,120,0.14,uniform_1_9,ALT,0.05,,,0.00036085400279262103,1000,2
WS,120,0.14,uniform_1_9,A*,0.05,,,0.000680875004036352,1000,3
WS,120,0.14,uniform_1_9,DIJKSTRA,0.05,,,0.0008372294978471473,1000,4
WS,120,0.14,uniform_1_9,BI_DIJKSTRA,0.1,,,0.00021929149443167262,1000,1
WS,120,0.14,uniform_1_9,ALT,0.1,,,0.0003489789960440248,1000,2
WS,120,0.14,uniform_1_9,A*,0.1,,,0.000667333497403888,1000,3
WS,120,0.14,uniform_1_9,DIJKSTRA,0.1,,,0.0008213964974856935,1000,4
WS,120,0.14,uniform_1_9,BI_DIJKSTRA,0.3,,,0.00017160449715447612,1000,1
WS,120,0.14,uniform_1_9,ALT,0.3,,,0.0003816665011981968,1000,2
WS,120,0.14,uniform_1_9,A*,0.3,,,0.0005890414977329783,1000,3
WS,120,0.14,uniform_1_9,DIJKSTRA,0.3,,,0.0008001454989425838,1000,4
WS,240,0.06,uniform_1_9,ALT,0.01,,,0.00046714650306967087,1000,1
WS,240,0.06,uniform_1_9,BI_DIJKSTRA,0.01,,,0.0006005204995744862,1000,2
WS,240,0.06,uniform_1_9,A*,0.01,,,0.001265208498807624,1000,3
WS,240,0.06,uniform_1_9,DIJKSTRA,0.01,,,0.0013206454968894832,1000,4
WS,240,0.06,uniform_1_9,BI_DIJKSTRA,0.05,,,0.0003943124975194223,1000,1
WS,240,0.06,uniform_1_9,ALT,0.05,,,0.0004837080014112871,1000,2
WS,240,0.06,uniform_1_9,A*,0.05,,,0.0012284375006856862,1000,3
WS,240,0.06,uniform_1_9,DIJKSTRA,0.05,,,0.0013706874997296836,1000,4
WS,240,0.06,uniform_1_9,BI_DIJKSTRA,0.1,,,0.0003291040011390578,1000,1
WS,240,0.06,uniform_1_9,ALT,0.1,,,0.0004899585001112428,1000,2
WS,240,0.06,uniform_1_9,A*,0.1,,,0.0012195835006423295,1000,3
WS,240,0.06,uniform_1_9,DIJKSTRA,0.1,,,0.0013604170017060824,1000,4
WS,240,0.06,uniform_1_9,BI_DIJKSTRA,0.3,,,0.0002321874999324791,1000,1
WS,240,0.06,uniform_1_9,ALT,0.3,,,0.0006308124975475948,1000,2
WS,240,0.06,uniform_1_9,A*,0.3,,,0.0011188954995304812,1000,3
WS,240,0.06,uniform_1_9,DIJKSTRA,0.3,,,0.0013199790046201088,1000,4
WS,240,0.1,uniform_1_9,ALT,0.01,,,0.0007478959996660706,1000,1
WS,240,0.1,uniform_1_9,BI_DIJKSTRA,0.01,,,0.0010417914963909425,1000,2
WS,240,0.1,uniform_1_9,A*,0.01,,,0.0018659169982129242,1000,3
WS,240,0.1,uniform_1_9,DIJKSTRA,0.01,,,0.0021816250009578653,1000,4
WS,240,0.1,uniform_1_9,BI_DIJKSTRA,0.05,,,0.0006088955015002284,1000,1
WS,240,0.1,uniform_1_9,ALT,0.05,,,0.0008159794997482095,1000,2
WS,240,0.1,uniform_1_9,A*,0.05,,,0.001764541997545166,1000,3
WS,240,0.1,uniform_1_9,DIJKSTRA,0.05,,,0.0022470629955932964,1000,4
WS,240,0.1,uniform_1_9,BI_DIJKSTRA,0.1,,,0.0004517919987847563,1000,1
WS,240,0.1,uniform_1_9,ALT,0.1,,,0.0007951879997563083,1000,2
WS,240,0.1,uniform_1_9,A*,0.1,,,0.0016405629976361524,1000,3
WS,240,0.1,uniform_1_9,DIJKSTRA,0.1,,,0.0021911664989602286,1000,4
WS,240,0.1,uniform_1_9,BI_DIJKSTRA,0.3,,,0.00034983349905814976,1000,1
WS,240,0.1,uniform_1_9,ALT,0.3,,,0.0009906044979288708,1000,2
WS,240,0.1,uniform_1_9,A*,0.3,,,0.0015371459994639736,1000,3
WS,240,0.1,uniform_1_9,DIJKSTRA,0.3,,,0.0022581880002690013,1000,4
WS,240,0.14,uniform_1_9,ALT,0.01,,,0.0009651665022829548,1000,1
WS,240,0.14,uniform_1_9,BI_DIJKSTRA,0.01,,,0.0010689584996725898,1000,2
WS,240,0.14,uniform_1_9,A*,0.01,,,0.0022119789973658044,1000,3
WS,240,0.14,uniform_1_9,DIJKSTRA,0.01,,,0.0030025209998711944,1000,4
WS,240,0.14,uniform_1_9,BI_DIJKSTRA,0.05,,,0.0006624164998356719,1000,1
